category,album,title,has_children,parent,image,date,media,width,height,price,tags,notes,album_escaped,basename
ceramics,2005,Blue Dish Small,,,blue_dish_small.jpg,,,,,,,,2005,blue_dish_small
ceramics,2005,Blue Purple Bowl Large,,,blue_purple_bowl_large.jpg,,,,,,,,2005,blue_purple_bowl_large
ceramics,2005,Crescent Olive,,,Crescent olive.jpg,,,,,,,,2005,crescent_olive
ceramics,2005,Gray Blue Bowl,,,gray_blue_bowl.jpg,,,,,,,,2005,gray_blue_bowl
ceramics,2005,Kiwi Plates-medium,,,kiwi_plates-medium.jpg,,,,,,,,2005,kiwi_plates-medium
ceramics,2005,Leaf Bowls,,,leaf_bowls.jpg,,,,,,,,2005,leaf_bowls
ceramics,2005,Leaf Cutout Platter,,,Leaf cutout platter.jpg,,,,,,,,2005,leaf_cutout_platter
ceramics,2005,Long Plain Straight Olive,,,long plain straight olive.jpg,,,,,,,,2005,long_plain_straight_olive
ceramics,2005,Long Sectioned Olive,,,long sectioned olive.jpg,,,,,,,,2005,long_sectioned_olive
ceramics,2005,Metalic Flame Dish-bottom,,,metalic_flame_dish-bottom.jpg,,,,,,,,2005,metalic_flame_dish-bottom
ceramics,2005,Metalic Flame Dish-side,,,metalic_flame_dish-side.jpg,,,,,,,,2005,metalic_flame_dish-side
ceramics,2005,Metalic White Bowl,,,metalic_white_bowl.jpg,,,,,,,,2005,metalic_white_bowl
ceramics,2005,Moss Dish-bottom,,,moss_dish-bottom.jpg,,,,,,,,2005,moss_dish-bottom
ceramics,2005,Moss Green Dish-bottom,,,moss_green_dish-bottom.jpg,,,,,,,,2005,moss_green_dish-bottom
ceramics,2005,Moss Green Dish-small,,,moss_green_dish-small.jpg,,,,,,,,2005,moss_green_dish-small
ceramics,2005,Mottled Bowl,,,mottled_bowl.jpg,,,,,,,,2005,mottled_bowl
ceramics,2005,Olive With Handle,,,olive with handle.jpg,,,,,,,,2005,olive_with_handle
ceramics,2005,Oval Dish,,,oval_dish.jpg,,,,,,,,2005,oval_dish
ceramics,2005,Plain Triangle Platter,,,Plain triangle platter.jpg,,,,,,,,2005,plain_triangle_platter
